type,formal,informal
exact,می‌باشد,هست
exact,نمی‌باشد,نیست
exact,می باشد,هست
exact,نمی باشد,نیست
exact,می‌خواهم,می‌خوام
exact,می‌خواهی,می‌خوای
exact,می‌خواهد,می‌خواد
exact,می‌توانم,می‌تونم
exact,نمی‌توانم,نمی‌تونم
exact,نمی‌خواهم,نمی‌خوام
exact,نمی‌خواهی,نمی‌خوای
exact,هستم,ـم
exact,هستید,ـین
exact,هستند,ـن
exact,است,ـه
exact,خواهد بود,میشه
exact,نمی‌دانم,نمی‌دونم
exact,نمی‌دانید,نمی‌دونین
exact,شما,تو
exact,آن,اون
exact,این,این
exact,بنابراین,پس
exact,زیرا,چون
exact,اما,ولی
exact,سپس,بعدش
exact,بسیار,خیلی
exact,لطفاً,لطفا
exact,به دلیل,به خاطر
exact,به علت,به خاطر
exact,به موجب,بر اساس
exact,به طور کلی,کلاً
exact,به همین دلیل,واسه همین
exact,به ویژه,خصوصاً
exact,به عبارتی,یعنی
exact,به هیچ وجه,اصلاً
exact,به هیچ عنوان,اصلاً
exact,در نتیجه,پس
exact,در صورتی که,اگه
exact,در حالی که,درحالی‌که
exact,در عوض,عوضش
exact,در واقع,واقعاً
exact,در نهایت,آخرش
exact,در مجموع,کلاً
exact,در ضمن,راستی
exact,در پی,دنبال
exact,در برابر,جلو
exact,در قبال,در برابر
exact,در کنار,کنار
exact,در راستای,برای
exact,در برابر با,مقابل
exact,در باب,درباره
exact,در حدود,حدود
exact,در حین,وقتی که
regex,\bمی توان(?:ید|م)\b,می‌تونم
regex,\bنمی توان(?:ید|م)\b,نمی‌تونم
regex,\bخواه(?:م|ید)\b,می‌خوایم
regex,\bدوست دار(?:م|ی|د)\b,حال می‌کنم
regex,\bبیایید\b,بیاین
regex,\bکجا هست\b,کجاست
regex,\bچگونه\b,چطوری
regex,\bچه کار می کنی\b,چیکار می‌کنی
regex,\bنمی دان(?:م|ید)\b,نمی‌دونم
regex,\bمی دان(?:م|ید)\b,می‌دونم
regex,\bخواهند\b,میخوان
regex,\bمی بایست\b,باید
regex,\bنمی بایست\b,نباید
regex,\bمی بایستی\b,باید
regex,\bنمی بایستی\b,نباید
regex,\bمطمئن(?:م|ید)\b,خیالم راحته
regex,\bاحتمالاً\b,شاید
regex,\bمعمولاً\b,اغلب
regex,\bاصولاً\b,در کل
regex,\bبایستی\b,باید
regex,\bلازم است\b,باید
regex,\bضروری است\b,لازمه
regex,\bنیاز است\b,لازمه
regex,\bشاید\b,احتمالاً
regex,\bحتماً\b,یقیناً
regex,\bواقعاً\b,راستش
regex,\bجدی\b,واقعا
regex,\bحالا\b,الان
regex,\bاکنون\b,الان
regex,\bفعلاً\b,الان
regex,\bدر حال حاضر\b,الان
regex,\bهم اکنون\b,الان
regex,\bبه زودی\b,زود
regex,\bدر آینده\b,بعداً
regex,\bاخیراً\b,تازه
regex,\bمدتی\b,یه مدت
regex,\bبه محض\b,همین که
regex,\bبه محض این که\b,همین که
regex,\bهر چه سریعتر\b,زودتر
regex,\bدر اسرع وقت\b,هرچه زودتر
regex,\bلطفاً\b,خواهشاً
regex,\bسپاس\b,مرسی
regex,\bمتشکرم\b,مرسی
regex,\bممنون\b,مرسی
exact,تلفن همراه,موبایل
exact,رایانه,کامپیوتر
exact,خودرو,ماشین
exact,پلیس,کلانتری
exact,بیمارستان,بیمارخونه
exact,داروخانه,داروخونه
exact,کتابخانه,کتابخونه
exact,دانشگاه,دانشگا
exact,مدرسه,مدرسه‌مون
exact,هواپیما,هواپیماهه
exact,قطار,قطاره
exact,اتوبوس,اتوبوسه
exact,مترو,متروه
exact,دوچرخه,دوچرخه‌م
exact,موتورسیکلت,موتور
exact,پایگاه داده,دیتابیس
exact,برنامه کاربردی,اپلیکیشن
exact,سیستم عامل,اُپِرِیتینگ سیستم
exact,پست الکترونیک,ایمیل
exact,پیامک,اس‌ام‌اس
exact,تلفن,تلفون
exact,خانه,خونه
exact,آپارتمان,خونه
exact,منزل,خونه
exact,اتاق خواب,اتاق
exact,اتاق نشیمن,هال
exact,حمام,دستشویی
exact,سرویس بهداشتی,توالت
exact,آشپزخانه,آشپزخونه
exact,حیاط,حیاط خلوت
exact,پله برقی,اسکالیتور
exact,بالکن,تراس
exact,ماشین لباسشویی,لباسشور
exact,ماشین ظرفشویی,ظرفشور
exact,یخچال,یخچال فریزر
exact,فریزر,یخچال کوچیک
exact,اجاق گاز,گاز
exact,مایکروویو,مایکرو
exact,تلویزیون,تی‌وی
exact,کنترل از راه دور,ریموت
exact,ساعت مچی,ساعت
exact,عینک آفتابی,عینک دودی
exact,چتر,چتر بارونی
exact,کفش ورزشی,کتونی
exact,شلوار جین,جین
exact,تی‌شرت,تیشرت
exact,کت و شلوار,کتشلوار
exact,پیراهن,پیراهَن
exact,دامن,دامنه
exact,کلاه,کَلاه
exact,شال گردن,شال
exact,کمربند,کمربند شلوار
exact,کیف دستی,کیف
exact,کوله پشتی,کوله
exact,چمدان,ساک
exact,پول نقد,پول
exact,کارت بانکی,کارت
exact,عابر بانک,ATM
exact,بانک,بانک
exact,حساب بانکی,اکانت بانک
exact,بیمه,بیمه‌نامه
exact,مالیات,تکس
exact,درآمد,پول درآوردن
exact,هزینه,خرج
exact,پرداخت,پِیمنت
exact,سود,سودش
exact,زیان,ضرر
exact,وام,قرض
