formal,informal
صبر کنید,صبر کن
می خواهم,میخوام
من می توانم,میتونم
او,اون
را,رو
نام,اسم
است,هست
می کنید,میکنی
می توانید,میتونی
آن,اون
ببینید,ببینی
هرگز,اصلا
باشید,باشی
شما,تو
دیگری,دیگه ای
مانند,مثل
می شوند,میشه
می دانم,میدونم
کنید,کن
می دهیم,میدیم
دیگر,دیگه
خواهیم کرد,میکنیم
اشکالی ندارد,مشکلی نداره
من همه گوش هستم,من دارم گوش میدم
چیست,چیه
شده است,شده
هستند,هست
جذاب است,جالب است
در,در
خیابان,خیابون
خود,خودش
می خواهند,میخوان
دهند,بدن
موفق هست,موفق خواهد بود
مطمئن هستم,مطمئنم
نشوید,نشید
چگونه,چطور
بدانند,بدونن
بسازد,بسازه
کار می کند,کار میکنه
قرار دهید,قرار بدید
چیز دیگری,چیز دیگه ای
شما بخرید,شما بخرین
ما بخریم,ما بخریم
انها بخرند,اونا بخرن
گران باشد,گرون باشه
فکر کنند,فکر کنن
فکر میکنیم,فکر کنیم
انجام خواهم داد,انجام میدم
می خواهید کاری انجام دهید,میخوای کاری انجام بدی
را بسازم,رو بسازم
باشد,باشه
خوب است,خوبه
چه چیزی می توانم برای شما تهیه کنم,چی نیاز دارین
نان,نون
شما می خواهید,تو میخوایی
را دوست دارم,رو دوست دارم
نظر می رسد,نظر میرسه
را داریم,داریم
در آنجا,اونجا
خود گرفتم,خودم گرفتم
ممکن است,ممکنه
داشته باشید,داشته باشی
خیلی سخت است,خیلی سخته
بیرون آوردم,اوردم بیرون
برای شما بدست آورم,برای شما بیارم
مهم نیستید,مهم نیست
جداگانه,جدا
اینجا می روید,بفرمایید
بدهکار هستم,بدهکارم
بسیار بزرگ,خیلی بزرگ
شما دارید,تو داری
آیا می توانم,میتونم
کمی حجیم,یکم بزرگه
به خواهرم می فرستم,می فرستم به خواهرم
به برادرم میفرستم,می فرستم به داداشم
به پدرم میفرستم,به بابام میفرستم
پدر,بابا
مادر,مامان
بنابراین,با این حال
می روم,می رم
قرار دارد,قرار داره
بگویید کجاست,بگی کجاست
وقتی به جاده عبور می کنید,وقتی از جاده عبور می کنید
از خیابان عبور کنید,خیابون رد بشید
همانجا,همونجا
مشاهده خواهید کرد,می‌بینین
از دست بدهید,از دست بدید
چه کاری می توانم برای شما انجام دهم,چه کار میتونم براتون بکنم
در بسته,تو بسته
آیا شکافت وجود دارد؟ شکننده است؟,ترک خورده؟ راحت می‌شکنه؟
بیایید ببینیم,بیایین ببینیم
چقدر است,چقدره
پوند است,پونده
دلار است,دلاره
لطفاً فرم اعلامیه این سفارشی را پر کنید,لطفا ایر فرم رو پر کنید
چه زمانی,تا کی
انجا,اونجا
خواهد بود,هست
کمی,یکم
گران,گرون
وجود دارد,وجود داره
آن می روم,من اینو انتخاب می‌کنم
احتیاج,نیاز
پرداخت کنید,جساب کنید
بتوانم,بتونم
ارزان,ارزون
شکسته است,شکسته
جایگزین کنم,عوضش کنم
ظروف,ظرف ها
ساده ای,راحتی
خیلی بد است,خیلی بده
طریق,روش
تهیه کنم,بخرم
می فروشد,میفروشه
هیچ مشکلی با آن وجود ندارد,هیچ مشکلی نداره
پس,پس
یک نجات دهنده هستید,تو نجات‌دهنده‌ای
کند,کنه
با او تماس بگیرم,باهاش
آن قدردانی می کنم,مرسی بابتش
آمدید,اومدید
یهو از کار افتاد,یهو از کار افتاد
نشون می داد,نشون می داد
نیز وجود داشت,وجود داشت
دوستام,دوستام
هم,هم
حل,حل
بعضی,بعضی
اول,اول
برم,برم
چه کاری انجام دادی,چه کاری انجام دادی
قرار بدین,قرار بدین
به دست بیارین,به دست بیارین
انجام میدم,انجام میدم
خودم,خودم
بزارم,بزارم
جرئت,جرئت
دوستان,دوستام
احساس می‌کنم,حسمه
امکان دارد,ممکنه
آماده است,آمادس
آشنا هستید,آشنایی
انتخاب کنید,انتخاب کن
بزرگ است,بزرگه
بسیار خوشحالم,خیلی خوشحالم
پاسخ دهید,جواب بدید
توجه کنید,توجه کن
ثابت شده,ثابت شده
جستجو کنید,بگردید
حاضر هستید,حاضرین
حقیقت دارد,راسته
خارج شده,رفته بیرون
دشوار است,سخته
دوست دارید,دوست داری
راهنمایی می‌کنید,راهنمایی می‌کنین
زیاد است,زیاده
ساخته شده,ساخته شده
شروع کنید,شروع کن
عجله کنید,عجله کن
فکر می‌کنید,فکر می‌کنی
قبول دارید,قبول داری
متوجه می‌شوید,متوجه می‌شی
مشغول هستید,مشغولی
معنی می‌دهد,یعنی
مناسب است,مناسبه
نگران هستید,نگرانی
نیاز دارید,نیاز داری
همراه است,همراهه
ورود کنید,وارد شید
رسمی,غیررسمی
آرام باشید,آروم باش
آزمایش کنید,آزمایش کن
اضافه کنید,اضافه کن
امتحان کنید,امتحان کن
برمی‌گردد,برمی‌گرده
بپرسید,بپرس
بلند است,بلنده
بمانید,بمونید
پنهان شده,قایم شده
تغییر دهید,عوض کنید
توصیه می‌کنم,پیشنهاد می‌دم
حاضر است,حاضره
حرف می‌زنید,حرف می‌زنی
خارج کنید,بیرون بیارید
درست است,درسته
ذخیره کنید,سیو کنید
راضی هستید,راضینی
زمان دارد,وقت داره
سریع است,سریعه
شک دارید,شک داری
عوض کنید,جایشو عوض کن
فروخته شده,فروخته شده
قرار است,قراریه
متشکرم,مرسی
ممکن است,ممکنه
می‌ترسید,می‌ترسی
ناراحت هستید,ناراحتی
نشان دهید,نشون بدید
همچنین,همینطور
وارد شوید,بیاین تو
آیا می‌دانید,می‌دونی
آینده است,آیندس
احتمال دارد,شایده
اختیار دارید,اختیار داری
ارسال کنید,بفرستید
استفاده کنید,استفاده کن
اضافه است,زیادیه
امکان پذیر است,میشه
باز است,بازه
بررسی کنید,چک کنید
بعداً,بعدا
پیدا کنید,پیدا کن
تأخیر دارد,دیر کرده
تکمیل کنید,تکمیل کن
جمع است,جمعه
حاضر نیست,نیس
حساب کنید,حساب کن
خارج است,بیرونه
دلیل دارد,دلیلی داره
رسیده است,رسیده
سخت است,سخته
شبیه است,شبیه‌س
صبر کنید,صبر کن
عجله دارد,عجله داره
فردا,فردا
قابل قبول است,قابله
متفاوت است,فرق داره
مهم است,مهمه
نزدیک است,نزدیکه
همین,همین
آغاز کنید,شروع کن
آیا متوجه شدید?,فهمیدی؟
آینده خواهد بود,آینده میشه
اثبات شده,ثابت شده
احساس خوبی دارم,حسم خوبه
اخیراً,این اواخر
ارزش دارد,می‌ارزه
استثنایی است,خیلی خوبه
اضطراب دارید,استرس داری
افزایش دهید,بیشتر کن
اقدام کنید,دست بکار شید
الان حاضر است,حالا آمادس
امیدوارم,امیدوارم
انتشار دهید,پخش کن
انجام دادم,انجامش دادم
اولویت دهید,اولویت بده
ایجاد کنید,درست کن
اینطور نیست,اینجوری نیس
بالاخره,در آخر
بپذیرید,قبول کن
بخشی از آن,یه قسمتش
بدون شک,قطعاً
برگزیده شده,انتخاب شده
برنامه ریزی کنید,برنامه بچین
بزرگنمایی کنید,زوم کن
بعد از ظهر,عصر
بهترین است,بهترینه
بیرون است,بیرونه
بی‌فایده است,به درد نمی‌خوره
تأثیرگذار است,اثر داره
تحقیق کنید,سرچ کن
تخریب شده,خراب شده
ترجیح می‌دهم,ترجیح میدم
تسهیل کنید,راحت‌تر کن
تشکیل دهید,تشکیل بدید
تغییر کرد,عوض شد
تکمیل شده,تموم شده
توجه داشته باشید,دقت کن
جالب توجه است,جالبه
جبران کنید,جبران کن
جریان دارد,جریان داره
حاضر نشد,نیومد
حذف کنید,پاک کن
حقیقی است,واقعیه
خارج کنید,درآرید
خسته کننده است,حوصله سربره
خوشایند است,خوشاینده
در اختیار دارید,داری
در نظر بگیرید,فکر کن
درد دارد,درد میکنه
دوست داشتید,دوست داشتی
دیوانه کننده است,عجیبه
